 أبريل أو  نيسان أو يوم  \  اليوم الحادي والعشرون من الشهر الرابع هو اليوم الحادي عشر بعد المئة  من السنة البسيطة أو اليوم الثاني عشر بعد المئة  من السنوات الكبيسة وفقًا للتقويم الميلادي الغربي الغريغوري يبقى بعده  يوما لانتهاء السنة,Arabic
 السيف يكون نصله منحنيًا على شكل نصف قوي غير كامل الاستدارة وفي الصحاح القِتر بالكسر ضرب من النصال وتقتّر فلان أي تهيأ للقتال وبقول أبو عبيدة الكتر بناء مثل القبة شبه سنام البعير به,Arabic
 جوزاء هو اليوم الذي يلي  جوزاء ويسبق  جوزاء في التقويم الهجري الشمسي وهو يوافق يوم  منذ بداية السنة تطابق  يونيو لتقويم ميلادي,Arabic
--- وفي تفكيك الحياة في العالم  البوذية والمسيحية والثقافة اتلانتا  علماء وكالة انباء برس أكاديمية أمريكية من دين  ؛ أوكسفورد  مطبعة جامعة أكسفورد  ؛ ردمك --- القماش وردمك  -- -- pbk,Arabic
 مارس  تبنَّت حركة ولاية عدن أبين المتفرعة عن القاعدة وأنصار الشريعة والتابعة لداعش في اليمن التفجيرات الانتحارية في في مسجدي بدر والحشوش التي نتج عنها  قتيلًا و جريحًا,Arabic
" مايو  - أطلق الجنود السعوديون النار على طفل يبلغ من العمر سنتين ونصف وقتله وشاب في بلدة العوامية وزعمت صحيفة ""العهد"" في لبنان أن أم الطفل الذي يبلغ من العمر عامين ونصف العام أصيب بجراح خطيرة إلا أن الحكومة السعودية ادعت أن المدفعية مسؤولون عن الحادث",Arabic
 مايو ذكرت صحيفة الجارديان أن أبو بكر البغدادي زعيم داعش يتعافى في الموصل من إصابات خطيرة حصل خلال عام  غارة جوية مارس أفيد أنه نظرا لعجز البغدادي من اصابته في العمود الفقري وقال انه قد لا يكون قادرا على استئناف السيطرة المباشرة لداعش مرة أخرى,Arabic
" مايو سقوط معبر ""الوليد"" آخر معبر حدودي بين سوريا والعراق بيد ″داعش″ والذي كان تحت سيطرة النظام السوري  أيضا تبنَّى تنظيم داعش تفجير مسجد القطيف الذي أدى لمقتل أكثر من عشرين شخصًا وإصابة أكثر من مئة وهي أول عملية لداعش في السعودية",Arabic
 مايو تبنَّى تنظيم داعش مقتل  شخصًا شيعيا اسماعيلياً وإصابة العشرات في الهجوم المسلح على حافلة كراتشي في پاكستان وفي اليوم نفسه أفادت وزارة الدفاع العراقية أن أبو علاء العفري نائب أبو بكر البغدادي قد قتل في غارة جوية للتحالف الذي تقوده الولايات المتحدة على مسجد في تلعفر يوم  مايو عام  كما تم قتل أيضا عشرات الآخرين من أبرز مقاتلي داعش  وقتل أيضا في الغارة الجوية أكرم قرباش كبير القضاة في داعش ,Arabic
 مايو تبنَّى تنظيم الدولة محاولة تفجير مسجد في محافظة الدمام السعودية أثناء صلاة الجمعة حيث لم يتمكَّن المُنفِّذ من دخول المسجد ففجَّر نفسه في الخارج بعد الاشتباه به وراح ضحية العملية أربعة قتلى,Arabic
"- مايو قوات العمليات الخاصة الأمريكية قتلت أحد كبار قادة داعش يدعى "" أبو سياف"" خلال مداهمة تهدف إلى إلقاء القبض عليه في مدينة دير الزور شرق سوريا بين عشية وضحاها",Arabic
 مايوقوات داعش استولت علي مدينة الرمادي بالعراق بعد انسحاب القوات الحكومية العراقية من مواقعها بالمدينة وتخليها عن أسلحتها ؛ تم قتل أكثر من  شخص ,Arabic
 يوليو تفجير انتحاري أثناء أداء صلاة الجمعة في شهر رمضان استهدف مسجدًا في مدينة الكويت عاصمة الكويت ونتج عنه ما لا يقل عن  قتيلًا و جريحًا,Arabic
